Timestamp,How old are you?,Where do you come from?,Male or Female ?,Position?,Do you Like coffe ? ,What MAIN program/ language you use to do your stuff? ,What SECONDARY program/ language you use to do your stuff? ,World / similar or LaTeX ?,Win / mac / linux,Do you care about open source/data/access ?,"Git , version control ?"
05/01/2014 16:37:27,24,Italy,Male,Master,Addicted,Python,Mathematica,LaTeX,osX 10.9,yes,Can't live without
05/01/2014 16:39:31,29,,Male,Technician ,Addicted,Matlab,Mathematica,LaTeX,Windows 7,free beer ? count me in !,"nice but too nerdy, dropbox is enough."
05/01/2014 16:39:42,25,Denmark,Male,Master,Yes,Matlab,C/C++,LaTeX,Linux (all flavors),yes,"nice but too nerdy, dropbox is enough."
05/01/2014 16:39:57,57,Denmark,Male,Senior,Yes,Mathematica,Visual Basic,LaTeX,Windows 8,no,Can't live without
05/01/2014 16:40:56,27,the netherlands,Female,Phd,No,Matlab,Python,LaTeX,osX 10.9,yes,"nice but too nerdy, dropbox is enough."
05/01/2014 16:42:27,23,Switzerland,Male,Phd,Yes,Python,Igor pro,.md  ,osX 10.9,yes,Can't live without
05/01/2014 16:43:02,22,Denmark,Male,Bachelor,No,Matlab,Igor pro,LaTeX,Windows 8,yes,"nice but too nerdy, dropbox is enough."
05/01/2014 16:43:46,26,United States of America,Male,Phd,Yes,Igor pro,Python,World/ similar,Windows 7,free beer ? count me in !,"nice but too nerdy, dropbox is enough."
05/01/2014 16:49:49,22,Denmark,Male,Bachelor,Yes,Matlab,Python,LaTeX,Linux (all flavors),yes,"Yeah whatever, I have a life."
